Time,sonic_temperature,PSPWatt_UP_Avg,co2_flux
,[K],W/m2,[繕mol+1s-1m-2]
2022/8/31 09:23,302.94,302.77,-4.47504
2022/8/31 09:53,304.55,426.4666667,-15.3756
2022/8/31 10:23,303.666,295.07,-6.62944
2022/8/31 10:53,303.234,258.86,0.695311
2022/8/31 11:23,303.921,310.3033333,-4.8441
2022/8/31 11:53,304.091,379.8166667,-11.1623
2022/8/31 12:23,303.968,319.3766667,-5.25788
2022/8/31 12:53,304.096,336.59,-5.9336
2022/8/31 13:23,304.551,333.14,-10.9593
2022/8/31 13:53,304.985,358.9766667,-8.09913
2022/8/31 14:23,304.993,341.9766667,-2.97372
2022/8/31 14:53,304.473,271.9033333,-2.49428
2022/8/31 15:23,305.23,470.0633333,-5.72918
2022/8/31 15:53,304.905,242.9266667,-2.28667
2022/8/31 16:23,303.407,53.212,0.780742
2022/8/31 16:53,302.145,29.945,-0.925242
2022/8/31 17:23,301.912,21.41406667,2.29569
2022/8/31 17:53,303.205,1.558133333,-67.0112
2022/8/31 18:53,298.717,0,224.121
2022/8/31 19:23,297.878,0,20.6039
2022/8/31 19:53,296.947,0,8.24281
2022/8/31 20:23,298.216,0.001,2.87603
2022/8/31 20:53,298.289,0.000733333,5.41146
2022/8/31 21:23,298.157,0,7.75075
2022/8/31 21:53,298.944,0,9.78563
2022/8/31 22:23,298.808,0,3.73031
2022/8/31 22:53,298.609,0,0.00365
2022/8/31 23:23,298.577,0,4.69147
2022/8/31 23:53,298.893,0,1.86897
2022/9/1 00:23,301.444,0,228.808
2022/9/1 00:53,301.463,0,-1.10616
2022/9/1 01:23,301.663,0,6.28528
2022/9/1 01:53,304.417,0,-162.68
2022/9/1 02:23,302.464,0,2.53583
2022/9/1 02:53,301.975,0,-20.0843
2022/9/1 03:23,301.334,0,0.458783
2022/9/1 03:53,302.43,0,-11.6433
2022/9/1 04:23,304.635,0.2259,-2.00118
2022/9/1 04:53,304.113,0.1302,28.4796
2022/9/1 05:23,302.182,0.0435,18.0172
2022/9/1 05:53,304.901,2.215533333,6.98923
2022/9/1 06:23,304.414,14.5161,8.10105
2022/9/1 06:53,305.141,56.25833333,10.4857
2022/9/1 07:23,304.296,163.3533333,-5.74379
2022/9/1 07:53,304.842,196.09,3.24185
2022/9/1 08:23,303.515,273.4966667,-7.82609
2022/9/1 08:53,303.575,405.3,-7.7048
2022/9/1 09:23,302.929,285.5733333,-0.43595
2022/9/1 09:53,302.602,243.35,-5.86754
2022/9/1 10:23,303.085,307.25,-2.85124
2022/9/1 10:53,304.016,418.88,-3.95097
2022/9/1 11:23,304.233,551.67,-2.05345
2022/9/1 11:53,304.539,600.49,-7.06129
2022/9/1 12:23,303.692,329.7433333,-2.91559
2022/9/1 12:53,303.984,310.2866667,-4.3947
2022/9/1 13:23,303.373,159.1933333,1.00146
2022/9/1 13:53,304.187,295.14,-3.4691
2022/9/1 14:23,304.326,330.66,-2.77232
2022/9/1 14:53,303.795,272.8433333,-8.40373
2022/9/1 15:23,302.915,132.5866667,-0.690909
2022/9/1 15:53,302.919,151.06,-1.85341
2022/9/1 16:23,302.454,80.911,2.57682
2022/9/1 16:53,301.717,28.32166667,0.0153
2022/9/1 17:23,301.525,27.767,2.82598
2022/9/1 17:53,301.018,17.25466667,3.11919
2022/9/1 18:23,300.457,2.061566667,0.480541
2022/9/1 18:53,300.11,0,1.70489
2022/9/1 19:23,299.154,0,-6.73716
2022/9/1 19:53,298.467,0,1.82149
2022/9/1 20:23,298.568,0,2.0478
2022/9/1 20:53,298.505,0,1.78714
2022/9/1 21:23,298.347,0,5.71889
2022/9/1 21:53,298.327,0,0.790074
2022/9/1 22:23,298.177,0,-1.46031
2022/9/1 22:53,297.885,0,6.39404
2022/9/1 23:23,297.804,0,3.30153
2022/9/1 23:53,297.776,0,0.00805
2022/9/2 00:23,297.416,0,3.82792
2022/9/2 00:53,297.263,0,4.46568
2022/9/2 01:23,297.141,0,1.36911
2022/9/2 01:53,297.076,0,3.77208
2022/9/2 02:23,297.081,0,7.82349
2022/9/2 02:53,296.873,0,0.775105
2022/9/2 03:23,296.809,0,3.16383
2022/9/2 03:53,296.759,0,4.23259
2022/9/2 04:23,296.721,0,9.58753
2022/9/2 04:53,296.722,0,1.73571
2022/9/2 05:23,296.891,0,8.079
2022/9/2 05:53,296.93,1.323166667,2.65624
2022/9/2 06:23,297.085,6.8659,2.23684
2022/9/2 06:53,297.167,14.48566667,1.4147
2022/9/2 07:23,297.525,21.90333333,2.26576
2022/9/2 07:53,298.293,71.04066667,0.217139
2022/9/2 08:23,298.579,74.481,-2.21994
2022/9/2 08:53,298.946,137.9543333,-2.40628
2022/9/2 09:23,300.506,332.66,-6.2633
2022/9/2 09:53,301.392,427.2733333,-7.83626
2022/9/2 10:23,301.829,705.2666667,-11.2425
2022/9/2 10:53,301.18,535.2066667,-5.10739
2022/9/2 11:23,303.153,967.8933333,-14.443
2022/9/2 11:53,302.503,596.1966667,-8.13743
2022/9/2 12:23,303.558,824.8966667,-14.0747
2022/9/2 12:53,303.976,976.3233333,-10.0457
2022/9/2 13:23,303.081,654.6466667,-13.0565
2022/9/2 13:53,303.51,548.5433333,-6.68468
2022/9/2 14:23,302.891,498.9,-6.68606
2022/9/2 14:53,301.837,214.6433333,-3.00009
2022/9/2 15:23,302.11,280.9633333,-8.47647
2022/9/2 15:53,301.325,166.66,-1.60739
2022/9/2 16:23,301.666,159.9863333,-2.06517
2022/9/2 16:53,300.702,45.21966667,2.03065
2022/9/2 17:23,300.573,28.0317,-4.3813
2022/9/2 17:53,301.19,9.662166667,6.92718
2022/9/2 18:23,300.943,2.785333333,-2.57418
2022/9/2 18:53,300.762,0,-14.6095
2022/9/2 19:23,300.613,0,14.4515
2022/9/2 19:53,300.525,0,-2.36999
2022/9/2 20:23,300.45,0,-0.552332
2022/9/2 20:53,300.22,0,-0.191669
2022/9/2 21:23,300.193,0,1.51326
2022/9/2 21:53,300.627,0,6.05209
2022/9/2 22:23,300.594,0,0.816951
2022/9/2 22:53,300.871,0,8.71573
2022/9/2 23:23,300.584,0,3.68037
2022/9/2 23:53,300.607,0,3.84657
2022/9/3 00:23,301.096,0,8.02254
2022/9/3 00:53,299.272,0,-1.46481
2022/9/3 01:23,299.402,0.000233333,-1.84121
2022/9/3 01:53,299.578,0.0007,5.25661
2022/9/3 02:23,301.658,0.0012,7.87915
2022/9/3 02:53,301.828,0,1.85842
2022/9/3 03:23,302.611,0.000466667,-3.29583
2022/9/3 03:53,301.262,0.000233333,74.6871
2022/9/3 04:23,300.881,0,41.59
2022/9/3 04:53,301.027,0.001666667,7.16941
2022/9/3 05:23,301.099,0,4.83997
2022/9/3 05:53,300.676,2.027233333,5.68945
2022/9/3 06:23,300.957,14.80253333,10.6642
2022/9/3 06:53,301.185,129.867,0.291326
2022/9/3 07:23,301.97,169.5133333,-7.49484
2022/9/3 07:53,302.073,178.0366667,-1.92548
2022/9/3 08:23,301.798,223.8333333,-4.95623
2022/9/3 08:53,301.174,186.7666667,-2.03795
2022/9/3 09:23,301.134,170.2733333,-3.54139
2022/9/3 09:53,301.854,317.2366667,-6.65677
2022/9/3 10:23,301.903,353.1233333,-13.237
2022/9/3 10:53,303.529,516.8266667,-12.9917
2022/9/3 11:23,301.883,94.09466667,121.64
2022/9/3 11:53,304.654,74.80833333,-120.286
2022/9/3 12:23,302.259,90.706,-4.78001
2022/9/3 12:53,301.261,31.355,11.4
2022/9/3 13:23,302.372,39.955,-96.1278
2022/9/3 13:53,306.046,13.9163,24.9299
2022/9/3 14:23,303.468,31.90466667,90.0918
2022/9/3 14:53,303.188,10.7957,132.607
2022/9/3 15:23,301.847,10.62153333,4.73141
2022/9/3 15:53,301.152,8.007866667,2.9711
2022/9/3 16:23,303.387,8.406166667,5.65244
2022/9/3 16:53,302.891,7.5882,-23.1385
2022/9/3 17:23,302.382,4.190866667,-32.5026
2022/9/3 17:53,303.04,2.620033333,-14.4512
2022/9/3 18:23,303.821,1.086366667,7.2713
